codigo_rec;recinto;Direccion;comuna;region;
2654;ESCUELA RURAL CRUCERO;TENIENTE ORELLANA 460 SECTOR CRUCERO;RIO BUENO;DE LOS RIOS;
2177;COLEGIO CARDENAL CARLOS OVIEDO CAVADA;AGUA SANTA 2800  ;MAIPU;METROPOLITANA DE SANTIAGO;
2184;ESCUELA SAN LUIS;LAS NACIONES 2020  ;MAIPU;METROPOLITANA DE SANTIAGO;
2169;GIMNASIO POLIDEPORTIVO MARTIN VARGAS;LAS TINAJAS 1421  ;MAIPU;METROPOLITANA DE SANTIAGO;
109;ESCUELA PROFESORA LJUBICA DOMIC WUTH;TENIENTE MANUEL ORELLA 680 CENTRO;ANTOFAGASTA;DE ANTOFAGASTA;
3886;ESCUELA PRESBITERIANA;URIBE 1070  ;ANTOFAGASTA;DE ANTOFAGASTA;
179;ESCUELA CARLOS CONDELL DE LA HAZA;BAQUEDANO SIN NUMERO ESQUINA PRAT;TOCOPILLA;DE ANTOFAGASTA;
3007;ESCUELA POZA VERDE;RUTA 5 NORTE KM 162 SIN NUMERO SECTOR LONGOTOMA;LA LIGUA;DE VALPARAISO;
3182;COLEGIO LO ERRAZURIZ;KANT 4130  ;MAIPU;METROPOLITANA DE SANTIAGO;
3120;ESCUELA ESPAÑA;RUTA A 27 VALLE DE AZAPA KILOMETRO 28 SIN NUMERO  ;ARICA;DE ARICA Y PARINACOTA;
1824;COLEGIO SAN JOSE DE CERRILLOS;DON ORIONE 7357  ;CERRILLOS;METROPOLITANA DE SANTIAGO;
1825;ESCUELA CAMPOS DE MAIPU - CERRILLOS;ARTURO PRAT 7307  ;CERRILLOS;METROPOLITANA DE SANTIAGO;
1828;ESCUELA CERRILLOS;AVENIDA LOS CERRILLOS 570  ;CERRILLOS;METROPOLITANA DE SANTIAGO;
1829;ESCUELA CONDORES DE PLATA;SALOMON SACK 925  ;CERRILLOS;METROPOLITANA DE SANTIAGO;
1830;ESCUELA EJERCITO LIBERTADOR DE CERRILLOS;ROSA ESTER RODRIGUEZ 6902  ;CERRILLOS;METROPOLITANA DE SANTIAGO;
1831;ESCUELA ESTRELLA REINA DE CHILE;CATORCE DE OCTUBRE 1151  ;CERRILLOS;METROPOLITANA DE SANTIAGO;
1832;ESCUELA JOSE JOAQUIN PRIETO VIAL;GOLFO DE MEXICO 361  ;CERRILLOS;METROPOLITANA DE SANTIAGO;
1827;ESCUELA PEDRO AGUIRRE CERDA;AVENIDA BUZETA 4479  ;CERRILLOS;METROPOLITANA DE SANTIAGO;
2135;COLEGIO SAN MARCOS;RODRIGO DE ARAYA 3265  ;MACUL;METROPOLITANA DE SANTIAGO;
13224;GIMNASIO MUNICIPAL DE CERRILLOS;CALETERA AMERICO VESPUCIO 914  ;CERRILLOS;METROPOLITANA DE SANTIAGO;
9554;COMPLEJO EDUCACIONAL CERRO NAVIA;COSTANERA SUR 6760  ;CERRO NAVIA;METROPOLITANA DE SANTIAGO;
1835;ESCUELA ALIANZA;LA CAPILLA 8514  ;CERRO NAVIA;METROPOLITANA DE SANTIAGO;
